City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
40,Salalah,17.0151,54.0924,73.49,73,0,2.3,OM,2022-11-08 03:11:41
41,Gorin,51.1983,136.6669,34.27,48,95,4.72,RU,2022-11-08 03:11:41
42,Hami,42.8,93.45,51.49,24,100,1.99,CN,2022-11-08 03:11:41
43,Ouahigouya,13.5828,-2.4216,74.23,15,13,9.31,BF,2022-11-08 03:11:42
44,Boyolangu,-8.1181,111.8935,81.21,78,89,3.04,ID,2022-11-08 03:11:42
45,Vuktyl,63.8567,57.3094,27.97,97,100,8.43,RU,2022-11-08 03:11:42
46,Luderitz,-26.6481,15.1594,61.52,85,71,6.82,NA,2022-11-08 03:11:42
47,Clyde River,70.4692,-68.5914,4.3,85,100,5.95,CA,2022-11-08 03:03:42
48,Chara,56.9064,118.2631,17.76,95,100,1.32,RU,2022-11-08 03:03:43
49,Yulara,-25.2406,130.9889,91.24,22,75,19.57,AU,2022-11-08 03:03:43
50,Carballo,43.213,-8.691,60.01,89,99,11.92,ES,2022-11-08 03:03:43
51,Burns Lake,54.2331,-125.7533,5.34,68,100,10.56,CA,2022-11-08 03:03:43
52,Cape Town,-33.9258,18.4232,61.12,88,95,1.99,ZA,2022-11-08 03:02:28
53,Cherskiy,68.75,161.3,-5.69,99,39,3.8,RU,2022-11-08 03:03:44
54,Ossora,59.2353,163.0719,28.74,92,100,3.76,RU,2022-11-08 03:03:44
55,Wattegama,6.7989,81.4808,80.1,74,100,5.01,LK,2022-11-08 03:03:44
56,Itum-Kale,42.7356,45.5758,41.92,30,7,6.67,RU,2022-11-08 03:03:44
57,Ust-Uda,54.1742,103.0304,26.47,70,100,7.83,RU,2022-11-08 03:03:45
58,Arraial Do Cabo,-22.9661,-42.0278,67.62,81,100,5.53,BR,2022-11-08 03:03:45
59,Hobart,-42.8794,147.3294,82.22,51,20,10.36,AU,2022-11-08 02:59:02
60,Hochst,47.4593,9.6405,50.36,92,86,2.3,AT,2022-11-08 03:03:45
61,Dikson,73.5069,80.5464,6.22,95,98,7.52,RU,2022-11-08 03:03:45
62,Nouadhibou,20.931,-17.0347,70.2,76,7,15.32,MR,2022-11-08 03:03:46
