,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
349,Chinsali,ZM,-10.5414,32.0816,76.03,46,62,7.67,broken clouds
350,Alekseyevka,RU,50.6309,38.6903,29.32,67,20,4.45,few clouds
351,Matay,EG,28.419,30.7792,64.06,68,0,10.8,clear sky
352,Artesia,US,33.8658,-118.0831,61.34,67,0,0.0,clear sky
353,Amahai,ID,-3.3333,128.9167,86.52,66,77,6.82,broken clouds
354,Bam,IR,29.106,58.357,66.15,37,2,3.83,clear sky
355,Mount Isa,AU,-20.7333,139.5,89.37,20,6,11.5,clear sky
356,Nizwa,OM,22.9333,57.5333,81.39,31,0,3.2,clear sky
357,Marietta,US,33.9526,-84.5499,47.75,66,100,12.66,overcast clouds
358,Santiago Del Estero,AR,-27.7951,-64.2615,68.41,34,0,6.89,clear sky
359,Narrabri,AU,-30.3167,149.7833,76.51,51,69,3.0,broken clouds
360,Khandyga,RU,62.6667,135.6,-17.95,98,100,2.66,overcast clouds
361,Kikuchi,JP,32.9833,130.8167,62.92,63,75,4.61,broken clouds
362,Ostrovnoy,RU,68.0531,39.5131,27.95,80,78,4.9,broken clouds
363,Newport,GB,51.5877,-2.9984,55.45,90,100,27.0,moderate rain
364,Lerwick,GB,60.1545,-1.1494,51.8,86,100,31.25,overcast clouds
365,Yayva,RU,59.3303,57.2641,17.19,77,99,8.01,overcast clouds
366,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.2,95,100,4.47,overcast clouds
367,Nsanje,MW,-16.92,35.262,74.52,86,98,5.28,overcast clouds
368,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,23.02,few clouds
369,Isla Mujeres,MX,21.2311,-86.731,78.85,78,21,10.42,few clouds
370,Zunyi,CN,27.6867,106.9072,54.86,79,99,3.27,overcast clouds
371,Port-Cartier,CA,50.0334,-66.8654,24.48,89,77,6.64,broken clouds
372,Ostrov,RU,57.3439,28.3537,33.53,93,99,7.81,overcast clouds
373,Avenal,US,36.0041,-120.129,40.77,55,2,4.05,clear sky
374,Sucua,EC,-2.4667,-78.1667,66.29,97,86,3.47,overcast clouds
375,Khani,GE,41.9563,42.9566,42.37,85,98,0.78,overcast clouds
376,Praia,CV,14.9215,-23.5087,73.94,73,0,8.05,clear sky
377,Balabac,PH,7.9868,117.0645,85.23,71,93,6.91,overcast clouds
378,Riohacha,CO,11.5444,-72.9072,75.99,92,94,7.61,overcast clouds
379,Tahoua,NE,14.8888,5.2692,67.98,22,0,6.91,clear sky
380,Asau,RO,46.4333,26.4,40.28,71,27,3.76,scattered clouds
381,Si Bun Ruang,TH,16.9667,102.2833,89.02,51,48,4.97,scattered clouds
382,Ardon,RU,43.17,44.29,40.19,73,97,4.5,overcast clouds
383,Vao,NC,-22.6667,167.4833,74.82,79,2,10.33,clear sky
384,Kahului,US,20.8947,-156.47,75.85,76,40,6.91,light rain
385,Dingzhou,CN,38.5131,114.9956,64.51,18,0,4.05,clear sky
386,Waipawa,NZ,-41.4122,175.5153,64.74,67,7,4.54,clear sky
387,Lata,PT,40.1629,-8.3327,61.81,93,100,9.64,overcast clouds
388,Hassleholm,SE,56.1591,13.7664,47.98,88,41,7.54,scattered clouds
389,Karasburg,NA,-28.0167,18.75,69.62,22,1,10.42,clear sky
390,Drumheller,CA,51.4617,-112.7101,22.84,85,53,1.14,broken clouds
391,Lorengau,PG,-2.0226,147.2712,84.72,68,84,1.12,broken clouds
392,Tarakan,ID,3.3,117.6333,78.3,94,40,3.44,scattered clouds
393,Dali,CN,25.7,100.1833,66.34,28,1,6.71,clear sky
394,Sai Buri,TH,6.7013,101.6168,83.91,89,100,7.45,overcast clouds
395,Grand Gaube,MU,-20.0064,57.6608,78.39,47,5,11.99,clear sky
396,La Ronge,CA,55.1001,-105.2842,21.45,93,100,3.44,mist
397,Caravelas,BR,-17.7125,-39.2481,75.36,90,100,9.22,overcast clouds
398,Ouesso,CG,1.6136,16.0517,71.33,96,100,0.65,overcast clouds
399,Meiktila,MM,20.8667,95.8667,84.49,45,20,7.85,few clouds
400,Vestmanna,FO,62.1564,-7.1664,47.32,93,100,28.77,overcast clouds
401,Komsomolskiy,UZ,40.4272,71.7189,50.72,57,98,4.61,overcast clouds
402,Palana,RU,59.1167,159.9667,26.91,82,96,27.36,overcast clouds
403,Taksimo,RU,56.3444,114.8794,17.6,83,92,1.41,overcast clouds
404,Balingasay,PH,16.3573,119.8564,86.5,64,52,5.37,broken clouds
405,Tromso,NO,69.6496,18.957,34.38,93,75,5.75,broken clouds
406,Kushiro,JP,42.975,144.3747,47.35,57,75,12.66,broken clouds
407,Brigantine,US,39.4101,-74.3646,42.01,77,17,6.24,few clouds
408,Devarkonda,IN,16.7,78.9333,80.67,51,12,5.32,few clouds
409,Hudson Bay,CA,52.85,-102.3842,-3.53,100,40,3.42,scattered clouds
410,Kismayo,SO,-0.3582,42.5454,82.85,68,75,6.91,broken clouds
411,Lensk,RU,60.7253,114.9278,-8.82,90,13,4.52,few clouds
412,Hounde,BF,11.5,-3.5167,72.03,28,3,6.11,clear sky
413,Northam,GB,51.0333,-4.2167,54.39,97,100,15.43,light rain
414,Severo-Yeniseyskiy,RU,60.3725,93.0408,7.36,95,100,4.79,light snow
415,Shimoda,JP,34.6667,138.95,57.56,75,95,1.72,overcast clouds
416,Amuntai,ID,-2.4177,115.2494,84.31,70,100,2.59,overcast clouds
417,Boksitogorsk,RU,59.474,33.8485,30.6,97,100,6.53,light snow
418,Sokoto,NG,13.0609,5.239,66.61,23,79,9.71,broken clouds
419,Plouzane,FR,48.3833,-4.6167,57.38,97,100,24.16,light rain
420,Kemijarvi,FI,66.7131,27.4306,31.69,91,99,4.38,overcast clouds
421,Ponta Delgada,PT,37.7333,-25.6667,63.5,94,75,5.75,broken clouds
422,Taoudenni,ML,22.6783,-3.9836,72.5,17,85,8.75,overcast clouds
423,Noumea,NC,-22.2763,166.4572,82.38,68,1,8.88,clear sky
424,Kruisfontein,ZA,-34.0033,24.7314,78.89,36,77,14.2,broken clouds
425,Vostok,RU,46.4856,135.8833,24.15,62,15,4.65,few clouds
426,Aripuana,BR,-9.1667,-60.6333,73.65,86,92,1.25,overcast clouds
427,Coralville,US,41.6764,-91.5805,33.66,74,100,1.99,overcast clouds
428,Poum,NC,-20.2333,164.0167,77.52,77,16,9.93,few clouds
429,Khor,RU,47.8861,134.9464,31.33,37,13,8.72,few clouds
430,Vyartsilya,RU,62.1764,30.693,34.61,100,100,7.78,light snow
431,Pontalina,BR,-17.525,-49.4472,71.46,80,97,2.28,overcast clouds
432,Acapulco,MX,16.8634,-99.8901,80.42,83,40,4.61,scattered clouds
433,Coquimbo,CL,-29.9533,-71.3436,58.73,94,0,2.3,clear sky
434,Te Anau,NZ,-45.4167,167.7167,60.62,55,100,4.85,overcast clouds
435,Inirida,CO,3.8653,-67.9239,76.77,89,79,2.62,broken clouds
436,Ayorou,NE,14.7308,0.9174,71.31,16,3,11.41,clear sky
437,Gizo,SB,-8.103,156.8419,85.15,67,51,9.62,light rain
438,Cumbal,CO,0.9088,-77.7915,47.41,91,99,3.6,overcast clouds
439,Storforshei,NO,66.4043,14.5233,30.65,93,0,3.44,clear sky
440,Rocha,UY,-34.4833,-54.3333,63.52,64,99,15.26,overcast clouds
441,Beringovskiy,RU,63.05,179.3167,32.76,85,86,17.09,overcast clouds
442,Nogliki,RU,51.8333,143.1667,23.61,70,5,3.27,clear sky
443,Leh,IN,34.1667,77.5833,23.58,64,64,1.43,broken clouds
444,Comarapa,BO,-17.9,-64.4833,56.07,94,99,2.1,overcast clouds
445,Mount Darwin,ZW,-16.7725,31.5838,71.29,71,93,5.3,overcast clouds
446,Sabha,LY,27.0377,14.4283,58.17,46,3,5.79,clear sky
447,Kautokeino,NO,69.0125,23.0412,15.57,96,93,3.71,overcast clouds
448,Hualmay,PE,-11.0964,-77.6139,62.69,88,19,7.45,few clouds
449,Cabedelo,BR,-6.9811,-34.8339,75.87,81,51,8.48,broken clouds
450,Listvyanka,RU,51.8535,104.8693,37.89,54,95,1.14,overcast clouds
451,Hami,CN,42.8,93.45,47.08,27,47,6.55,scattered clouds
452,Tura,IN,25.5198,90.2201,77.07,56,0,2.46,clear sky
453,Jumla,NP,29.2747,82.1838,57.18,44,91,6.13,overcast clouds
454,Sampang,ID,-7.1872,113.2394,89.94,71,100,4.25,light rain
455,Berkakit,RU,56.5807,124.7681,4.17,90,100,4.16,overcast clouds
456,Iquique,CL,-20.2208,-70.1431,64.44,83,43,6.26,scattered clouds
457,Huaraz,PE,-9.5333,-77.5333,54.72,81,70,4.05,broken clouds
458,Brokopondo,SR,4.75,-55.1667,76.06,86,4,6.67,clear sky
459,Dauphin,CA,51.1494,-100.0502,15.94,92,100,8.05,overcast clouds
460,Lutz,US,28.1511,-82.4615,70.02,81,0,7.09,clear sky
461,Lufilufi,WS,-13.8745,-171.5986,74.98,73,100,21.41,light rain
462,Morro Bay,US,35.3658,-120.8499,49.12,73,1,2.71,clear sky
463,Bratca,RO,46.9333,22.6167,45.9,57,15,2.93,few clouds
464,Aldan,RU,58.6031,125.3894,-11.31,95,49,2.91,scattered clouds
465,Smithers,CA,54.7804,-127.1743,28.72,86,100,3.44,overcast clouds
466,Balkanabat,TM,39.5108,54.3671,54.43,47,73,2.64,broken clouds
467,Shache,CN,38.4167,77.2406,46.53,25,0,2.17,clear sky
468,Alofi,NU,-19.0595,-169.9187,75.09,100,100,10.36,overcast clouds
469,Shush,IR,32.1942,48.2436,72.32,24,62,2.42,broken clouds
470,Springbok,ZA,-29.6643,17.8865,61.39,43,10,5.46,clear sky
471,Xingyi,CN,24.1877,102.817,72.05,39,8,12.1,clear sky
472,Wamba,NG,8.9333,8.6,70.36,35,58,1.32,broken clouds
473,San Juan De Los Morros,VE,9.9115,-67.3538,69.75,95,41,3.22,scattered clouds
474,Aguililla,MX,18.7333,-102.7333,65.21,76,86,3.65,overcast clouds
475,Baie-Comeau,CA,49.2168,-68.1489,29.88,80,100,6.91,overcast clouds
476,Pimampiro,EC,0.4,-77.9667,57.87,89,85,2.48,overcast clouds
477,Lumsden,CA,50.6501,-104.8678,5.95,100,40,2.33,scattered clouds
478,Meridian,US,43.6121,-116.3915,28.9,87,0,1.99,clear sky
479,Cibitoke,BI,-2.8833,29.25,64.33,90,97,0.6,overcast clouds
480,Trairi,BR,-3.2778,-39.2689,78.66,76,81,11.21,broken clouds
481,Gravdal,NO,68.1214,13.5031,30.09,86,0,2.3,clear sky
482,Togur,RU,58.3631,82.8265,34.11,100,100,10.02,light snow
483,Damaturu,NG,11.747,11.9608,67.91,27,78,7.7,broken clouds
484,Kuandian,CN,40.7286,124.7847,44.47,48,15,3.53,few clouds
485,Kralendijk,BQ,12.15,-68.2667,82.38,83,40,10.36,scattered clouds
486,Nargana,PA,9.4428,-78.5906,78.84,84,94,3.47,overcast clouds
487,Vysokogornyy,RU,50.1167,139.15,20.08,71,22,4.76,few clouds
488,Atar,MR,20.5169,-13.0499,77.14,28,51,9.48,broken clouds
489,Naples,IT,40.8333,14.25,60.13,93,40,2.3,scattered clouds
490,Lewistown,US,40.5992,-77.5714,31.64,96,0,0.0,clear sky
491,Kilindoni,TZ,-7.9139,39.6668,80.31,74,12,6.69,few clouds
492,Virginia Beach,US,36.8529,-75.978,48.0,65,0,0.0,clear sky
493,Ko Samui,TH,9.5357,99.9357,76.91,100,100,10.36,heavy intensity rain
494,Westport,US,41.1415,-73.3579,38.75,69,0,6.91,clear sky
495,Gejiu,CN,23.306,103.1635,66.96,54,52,5.99,broken clouds
496,Birao,CF,10.2849,22.7882,72.54,25,24,9.55,few clouds
497,Ballina,AU,-28.8667,153.5667,80.78,64,1,11.01,clear sky
498,Leo,BF,11.1,-2.1,69.87,30,9,6.69,clear sky
499,Yulara,AU,-25.2406,130.9889,84.79,19,79,11.18,broken clouds
500,Kattivakkam,IN,13.2167,80.3167,84.29,67,94,12.77,overcast clouds
501,Camacha,PT,33.0833,-16.3333,63.82,82,20,4.61,few clouds
502,Isperih,BG,43.7167,26.8333,45.95,76,100,2.15,overcast clouds
503,Minot,US,48.2325,-101.2963,16.02,79,100,9.22,light snow
504,Ankazoabo,MG,-22.2833,44.5167,82.58,53,16,5.64,few clouds
505,Minnedosa,CA,50.2453,-99.8436,14.56,96,90,5.55,overcast clouds
506,Paveh,IR,35.0434,46.3565,47.12,44,1,2.57,clear sky
507,Sawakin,SD,19.1059,37.3321,85.51,60,10,10.07,clear sky
508,Kyzyl-Mazhalyk,RU,51.1333,90.6,17.02,89,100,1.45,overcast clouds
509,Mangan,IN,27.5167,88.5333,72.18,55,35,6.73,scattered clouds
510,Titron,IN,29.6681,77.3225,78.87,34,39,6.98,scattered clouds
511,Nikolayevsk-Na-Amure,RU,53.1406,140.73,18.57,92,8,2.55,clear sky
512,Valparaiso,CL,-33.0393,-71.6273,56.84,71,0,4.61,clear sky
513,Chumikan,RU,54.7183,135.315,20.55,76,65,15.64,broken clouds
514,Barra Patuca,HN,15.8,-84.2833,77.25,87,80,3.02,light rain
515,Pochutla,MX,15.7432,-96.4661,74.82,90,7,3.0,clear sky
516,Buckeye,US,33.3703,-112.5838,56.21,53,0,5.75,clear sky
517,Beloha,MG,-25.1667,45.05,84.92,52,58,5.44,light rain
518,Norden,DE,53.6,7.2,45.95,97,54,13.2,broken clouds
519,Mudgee,AU,-32.5943,149.5871,58.86,65,100,11.07,light rain
520,Mabaruma,GY,8.2,-59.7833,72.54,99,55,2.39,broken clouds
521,Sorland,NO,67.667,12.6934,42.66,71,4,20.83,clear sky
522,Lamu,KE,-2.2717,40.902,80.82,74,100,3.91,overcast clouds
523,Guerrero Negro,MX,27.9769,-114.0611,61.57,48,91,3.62,overcast clouds
524,Medicine Hat,CA,50.0501,-110.6683,13.19,92,0,4.61,clear sky
525,Nenjiang,CN,49.1833,125.2167,31.86,39,1,8.95,clear sky
526,Ivangorod,RU,59.3716,28.2162,38.93,94,100,10.11,light rain
527,Mount Gambier,AU,-37.8333,140.7667,54.21,51,81,11.65,broken clouds
528,Santona,ES,43.4439,-3.4576,67.06,65,100,6.11,light rain
529,Dunedin,NZ,-45.8742,170.5036,63.81,70,78,5.99,light rain
530,Nouakchott,MR,18.0858,-15.9785,67.93,58,3,11.5,clear sky
531,Leshukonskoye,RU,64.8989,45.7622,6.87,98,82,0.4,broken clouds
532,Mersing,MY,2.4312,103.8405,85.91,79,40,5.75,scattered clouds
533,Sitrah,BH,26.1547,50.6206,82.4,57,0,9.22,clear sky
534,Emba,KZ,48.8264,58.1442,25.18,68,100,23.02,overcast clouds
535,Luwuk,ID,-0.9516,122.7875,86.79,69,100,3.31,overcast clouds
536,Ondangwa,NA,-17.9167,15.95,69.8,28,49,8.05,scattered clouds
537,Maniitsoq,GL,65.4167,-52.9,24.6,85,97,10.16,overcast clouds
538,Chor,PK,25.5167,69.7667,85.08,35,0,8.88,clear sky
539,Borogontsy,RU,62.6683,131.1683,-28.91,99,70,2.64,broken clouds
540,Monrovia,LR,6.3005,-10.7969,77.38,83,100,4.52,light rain
541,Wajima,JP,37.4,136.9,59.68,67,75,9.22,broken clouds
542,Tadine,NC,-21.55,167.8833,77.27,72,4,9.46,clear sky
543,Sobolevo,RU,54.4299,31.8996,30.09,88,68,8.08,broken clouds
544,Cotonou,BJ,6.3654,2.4183,78.87,83,33,5.19,scattered clouds
545,Chunhuhub,MX,19.55,-88.6833,67.57,99,7,2.48,clear sky
546,Fairbanks,US,64.8378,-147.7164,26.94,89,100,9.22,light snow
547,Tommot,RU,58.9564,126.2925,-12.32,95,56,0.63,broken clouds
548,Ekhabi,RU,53.5102,142.9671,21.87,80,14,7.38,few clouds
549,Shugurovo,RU,54.5083,52.1326,22.24,81,100,15.7,overcast clouds
550,Oussouye,SN,12.485,-16.5469,73.58,76,98,6.73,overcast clouds
551,Lazaro Cardenas,MX,17.9583,-102.2,75.45,87,100,3.65,overcast clouds
552,Luang Prabang,LA,19.8856,102.1347,84.16,58,40,2.3,scattered clouds
553,Rio Claro,BR,-22.4114,-47.5614,69.15,75,73,0.87,broken clouds
554,Obernai,FR,48.4631,7.481,53.78,87,100,5.75,overcast clouds
555,Lasa,IT,46.6166,10.7002,40.08,80,35,1.5,scattered clouds
556,Ayamonte,ES,37.2099,-7.4027,64.36,91,92,8.52,overcast clouds
557,Bardiyah,LY,31.7561,25.0865,64.06,63,5,8.86,clear sky
558,Micheweni,TZ,-4.9667,39.8333,83.01,66,2,4.05,clear sky
559,Abalak,RU,58.1286,68.5944,17.82,90,100,10.87,overcast clouds
560,Macia,MZ,-25.0269,33.0989,75.79,56,1,8.46,clear sky
561,Manicore,BR,-5.8092,-61.3003,76.6,78,94,1.41,overcast clouds
562,Takoradi,GH,4.8845,-1.7554,78.03,83,74,5.77,broken clouds
