City ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
368,Saint-Georges,GD,80.28,12.0564,-61.7485,few clouds,Radisson Grenada Beach Resort
369,Isla Mujeres,MX,78.85,21.2311,-86.731,few clouds,Hotel La Joya Isla Mujeres
377,Balabac,PH,85.23,7.9868,117.0645,overcast clouds,Batalla’s Lodging House
378,Riohacha,CO,75.99,11.5444,-72.9072,overcast clouds,Hotel Taroa
381,Si Bun Ruang,TH,89.02,16.9667,102.2833,scattered clouds,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
384,Kahului,US,75.85,20.8947,-156.47,light rain,Maui Seaside Hotel
391,Lorengau,PG,84.72,-2.0226,147.2712,broken clouds,Lorengau Harbourside Hotel
392,Tarakan,ID,78.3,3.3,117.6333,scattered clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
394,Sai Buri,TH,83.91,6.7013,101.6168,overcast clouds,สวนป่ารีสอร์ท
395,Grand Gaube,MU,78.39,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
397,Caravelas,BR,75.36,-17.7125,-39.2481,overcast clouds,Pousada dos Navegantes
399,Meiktila,MM,84.49,20.8667,95.8667,few clouds,The Floral Breeze Wunzin Hotel
404,Balingasay,PH,86.5,16.3573,119.8564,broken clouds,Rock Garden Resort
408,Devarkonda,IN,80.67,16.7,78.9333,few clouds,సంతోష్ టిఫిన్ సెంటర్
410,Kismayo,SO,82.85,-0.3582,42.5454,broken clouds,Agan-Hotel
416,Amuntai,ID,84.31,-2.4177,115.2494,overcast clouds,Hotel Balqis
423,Noumea,NC,82.38,-22.2763,166.4572,clear sky,Hôtel Le Lagon
424,Kruisfontein,ZA,78.89,-34.0033,24.7314,broken clouds,Oyster Bay House Rental
428,Poum,NC,77.52,-20.2333,164.0167,few clouds,
432,Acapulco,MX,80.42,16.8634,-99.8901,scattered clouds,HS Hotsson Smart Acapulco
435,Inirida,CO,76.77,3.8653,-67.9239,broken clouds,Fuente del Guania Hotel de Lujo
437,Gizo,SB,85.15,-8.103,156.8419,light rain,Imagination Island
449,Cabedelo,BR,75.87,-6.9811,-34.8339,broken clouds,Pousada Camboinha
452,Tura,IN,77.07,25.5198,90.2201,clear sky,Hotel RIKMAN Continental
454,Sampang,ID,89.94,-7.1872,113.2394,light rain,sekretariat IKA STAIN
458,Brokopondo,SR,76.06,4.75,-55.1667,clear sky,Matu Island
468,Alofi,NU,75.09,-19.0595,-169.9187,overcast clouds,Taloa Heights
480,Trairi,BR,78.66,-3.2778,-39.2689,broken clouds,janelas do mar
485,Kralendijk,BQ,82.38,12.15,-68.2667,scattered clouds,Divi Flamingo Beach Resort & Casino
486,Nargana,PA,78.84,9.4428,-78.5906,overcast clouds,Dubbir
488,Atar,MR,77.14,20.5169,-13.0499,broken clouds,Oumou Elghoura
491,Kilindoni,TZ,80.31,-7.9139,39.6668,few clouds,Bustani B&B
493,Ko Samui,TH,76.91,9.5357,99.9357,heavy intensity rain,The Passage
497,Ballina,AU,80.78,-28.8667,153.5667,clear sky,Ramada Hotel & Suites by Wyndham Ballina Byron
499,Yulara,AU,84.79,-25.2406,130.9889,broken clouds,Desert Gardens Hotel - Ayers Rock Resort
500,Kattivakkam,IN,84.29,13.2167,80.3167,overcast clouds,Euronova Freezer
504,Ankazoabo,MG,82.58,-22.2833,44.5167,few clouds,ENCEIN BUREAU CISCO
507,Sawakin,SD,85.51,19.1059,37.3321,clear sky,فندق الدويم
510,Titron,IN,78.87,29.6681,77.3225,scattered clouds,Mehmaannawaz
514,Barra Patuca,HN,77.25,15.8,-84.2833,light rain,
517,Beloha,MG,84.92,-25.1667,45.05,light rain,
522,Lamu,KE,80.82,-2.2717,40.902,overcast clouds,Lamu House
532,Mersing,MY,85.91,2.4312,103.8405,scattered clouds,Timotel Hotel
533,Sitrah,BH,82.4,26.1547,50.6206,clear sky,Al Bander resort
535,Luwuk,ID,86.79,-0.9516,122.7875,overcast clouds,Hotel Santika Luwuk
538,Chor,PK,85.08,25.5167,69.7667,clear sky,Asad U Bajeer Hotel
540,Monrovia,LR,77.38,6.3005,-10.7969,light rain,Sunset Inn
542,Tadine,NC,77.27,-21.55,167.8833,clear sky,
544,Cotonou,BJ,78.87,6.3654,2.4183,scattered clouds,Novotel Cotonou Orisha
551,Lazaro Cardenas,MX,75.45,17.9583,-102.2,overcast clouds,HOTEL QUINTA ANTIGUA
552,Luang Prabang,LA,84.16,19.8856,102.1347,scattered clouds,The Luang Say Residence
558,Micheweni,TZ,83.01,-4.9667,39.8333,clear sky,
560,Macia,MZ,75.79,-25.0269,33.0989,clear sky,Hotel Taskin Macia
561,Manicore,BR,76.6,-5.8092,-61.3003,overcast clouds,Hotel Durval
562,Takoradi,GH,78.03,4.8845,-1.7554,broken clouds,Raybow International Hotel
